date,hpi,country,mortgage_rate,gdp_growth,unemployment,permits,ecb_rate,hpi_growth,hpi_growth_yoy,mort_lag1,mort_lag2,mort_lag3,mort_lag4,post_qe,mort_change,mort_change_lag1,mort_x_post_qe
2020-12-31,119.569,FR,1.2633333333333334,0.9,8.066667,108.6,-0.5,1.273359894838122,5.856272592141409,1.3,1.2933333333333332,1.1833333333333333,1.2,1,-0.036666666666666625,0.006666666666666821,1.2633333333333334
2021-03-31,120.4711,FR,1.21,0.5,8.166667,111.5,-0.5,0.7544597680000598,5.531159307934974,1.2633333333333334,1.3,1.2933333333333332,1.1833333333333333,1,-0.053333333333333455,-0.036666666666666625,1.21
2021-06-30,122.7762,FR,1.1366666666666667,0.6,8.033334,115.1,-0.5,1.913404957703535,6.060530146293441,1.21,1.2633333333333334,1.3,1.2933333333333332,1,-0.07333333333333325,-0.053333333333333455,1.1366666666666667
2021-09-30,126.4846,FR,1.1233333333333333,0.2,7.833333,114.7,-0.5,3.020455104490938,7.130781531623098,1.1366666666666667,1.21,1.2633333333333334,1.3,1,-0.01333333333333342,-0.07333333333333325,1.1233333333333333
2021-12-31,127.7875,FR,1.1166666666666667,0.4,7.433333,115.4,-0.5,1.0300858760671217,6.873437094899182,1.1233333333333333,1.1366666666666667,1.21,1.2633333333333334,1,-0.006666666666666599,-0.01333333333333342,1.1166666666666667
2022-03-31,128.89,FR,1.13,1.0,7.366667,140.4,-0.5,0.8627604421402646,6.988315039872606,1.1166666666666667,1.1233333333333333,1.1366666666666667,1.21,1,0.013333333333333197,-0.006666666666666599,1.13
2022-06-30,131.095,FR,1.2666666666666666,0.6,7.5,124.2,-0.5,1.710761114128334,6.7755802834751355,1.13,1.1166666666666667,1.1233333333333333,1.1366666666666667,1,0.13666666666666671,0.013333333333333197,1.2666666666666666
2022-09-30,134.6029,FR,1.57,1.4,7.2,118.9,-0.002717391304347826,2.6758457607078956,6.418409830129512,1.2666666666666666,1.13,1.1166666666666667,1.1233333333333333,1,0.30333333333333345,0.13666666666666671,1.57
2022-12-31,133.8011,FR,1.91,1.3,7.166667,88.2,1.298913043478261,-0.5956781020319823,4.705937591704967,1.57,1.2666666666666666,1.13,1.1166666666666667,1,0.33999999999999986,0.30333333333333345,1.91
2023-03-31,132.5983,FR,2.3633333333333333,1.6,7.1,92.2,2.3444444444444446,-0.8989462717421626,2.8771045077197632,1.91,1.57,1.2666666666666666,1.13,1,0.45333333333333337,0.33999999999999986,2.3633333333333333
2023-06-30,131.997,FR,2.8766666666666665,1.4,7.3,88.5,3.17032967032967,-0.45347489372034033,0.6880506502917827,2.3633333333333333,1.91,1.57,1.2666666666666666,1,0.5133333333333332,0.45333333333333337,2.8766666666666665
